body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,11180,,Audi,A1,1.0,56000.0,3.5013698630136987,70.0,Used,Black,Cloth,5.0,4.0,Manual,1.0,,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,4.0,,,12.0,
Sedans,11450,,Audi,A1,1.0,27600.0,3.7534246575342465,70.0,Used,White,,5.0,4.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,5.0,2.0,3.0,14.0,5.0
Compact,11100,,Audi,A1,1.6,111670.0,3.5013698630136987,85.0,Used,Black,,5.0,5.0,Manual,1.6,4.0,1250.0,front,Diesel,3.0,3.0,3.0,,,,,,5.0
Compact,10900,VAT deductible,Audi,A1,1.4,30500.0,3.7534246575342465,66.0,Used,Black,Cloth,3.0,4.0,Manual,1.4,3.0,,front,Diesel,3.8,3.8,3.8,99.0,7.0,3.0,1.0,12.0,5.0
Compact,10999,VAT deductible,Audi,A1,,69500.0,2.83013698630137,70.0,Used,Black,Cloth,2.0,4.0,Manual,1.0,,,,Gasoline,4.4,4.4,4.4,10.0,7.0,1.0,1.0,10.0,
Compact,10900,VAT deductible,Audi,A1,1.0,43500.0,3.0821917808219177,60.0,Used,White,Cloth,2.0,4.0,Manual,1.0,,,,Gasoline,4.2,4.2,4.2,97.0,4.0,3.0,,11.0,
Sedans,10950,VAT deductible,Audi,A1,1.0,45696.0,3.6684931506849314,70.0,Used,Black,Cloth,3.0,5.0,Manual,1.0,,,front,Gasoline,4.4,4.4,4.4,10.0,10.0,3.0,1.0,12.0,5.0
Sedans,10800,Price negotiable,Audi,A1,1.4,34000.0,3.0,66.0,Used,Blue,Part leather,3.0,4.0,Manual,1.4,3.0,1165.0,front,Diesel,3.8,3.8,3.8,99.0,6.0,2.0,3.0,14.0,5.0
Sedans,10600,,Audi,A1,1.0,55000.0,3.5013698630136987,70.0,Used,Red,,3.0,4.0,Manual,1.0,3.0,1110.0,,Gasoline,4.2,4.2,4.2,97.0,6.0,1.0,1.0,13.0,5.0
Sedans,10800,VAT deductible,Audi,A1,1.4,99000.0,3.9178082191780823,66.0,Used,Black,Cloth,5.0,4.0,Manual,1.4,3.0,1205.0,front,Diesel,3.7,3.7,3.7,97.0,17.0,8.0,3.0,17.0,5.0
Compact,9950,VAT deductible,Audi,A1,1.0,118500.0,3.5863013698630137,70.0,Used,Black,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.4,4.4,4.4,10.0,13.0,7.0,3.0,14.0,5.0
Sedans,10300,,Audi,A1,1.0,85000.0,3.419178082191781,70.0,Used,Red,,5.0,5.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,8.0,4.0,3.0,12.0,5.0
Sedans,10000,VAT deductible,Audi,A1,,192000.0,3.5863013698630137,85.0,Used,Black,Cloth,5.0,4.0,Manual,1.6,4.0,1250.0,front,Diesel,3.9,3.9,3.9,10.0,11.0,2.0,1.0,14.0,5.0
Compact,10490,VAT deductible,Audi,A1,1.4,130000.0,3.8328767123287673,66.0,Used,White,Cloth,4.0,4.0,Manual,1.4,,,,Diesel,3.9,3.9,3.9,10.0,8.0,1.0,,12.0,
Compact,18900,,Audi,A1,1.0,41294.0,3.0821917808219177,71.0,Used,Grey,Cloth,5.0,4.0,Automatic,1.0,3.0,1065.0,front,Gasoline,4.4,4.4,4.4,103.0,10.0,2.0,1.0,11.0,7.0
Sedans,18900,,Audi,A1,1.6,64000.0,2.5013698630136987,85.0,Used,White,Full leather,5.0,4.0,Automatic,1.6,4.0,1720.0,,Diesel,,,,,13.0,4.0,2.0,9.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.0,13135.0,1.915068493150685,70.0,Used,Grey,,5.0,5.0,Automatic,1.0,3.0,1625.0,,Gasoline,,,,,8.0,3.0,1.0,6.0,7.0
Sedans,18900,,Audi,A1,1.0,4250.0,2.419178082191781,70.0,Used,Silver,Part leather,5.0,4.0,Automatic,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,10.0,11.0,6.0,6.0,15.0,7.0
